cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],
2002-06-10 07:45:00,286.889,5.689,285.625,97892.500,287.305,285.814,285.442,285.241,285.064,97942.894,97791.075,97709.134,97650.579,97592.010,
2002-06-10 07:50:00,286.830,5.689,285.667,97898.333,287.209,285.806,285.432,285.229,285.050,97942.923,97791.087,97709.143,97650.586,97592.015,
2002-06-10 07:55:00,286.936,5.461,285.708,97904.167,287.363,285.827,285.437,285.226,285.041,97942.887,97791.089,97709.148,97650.591,97592.019,
2002-06-10 08:00:00,286.879,5.461,285.750,97910.000,287.271,285.820,285.426,285.213,285.026,97942.917,97791.101,97709.158,97650.599,97592.023,
2002-06-10 08:05:00,286.988,5.461,285.808,97913.333,287.427,285.840,285.430,285.208,285.013,97942.882,97791.105,97709.165,97650.606,97592.028,
2002-06-10 08:10:00,286.991,5.461,285.867,97916.667,287.403,285.865,285.437,285.206,285.004,97942.871,97791.105,97709.170,97650.611,97592.032,
2002-06-10 08:15:00,287.129,5.461,285.925,97920.000,287.581,285.922,285.466,285.220,285.004,97942.801,97791.090,97709.167,97650.612,97592.035,
2002-06-10 08:20:00,287.107,5.461,285.983,97923.333,287.530,285.941,285.477,285.223,285.000,97942.798,97791.087,97709.168,97650.615,97592.037,
2002-06-10 08:25:00,287.219,5.461,286.042,97926.667,287.682,285.981,285.498,285.233,285.000,97942.744,97791.076,97709.166,97650.616,97592.039,
2002-06-10 08:30:00,287.186,5.461,286.100,97930.000,287.619,285.993,285.503,285.234,284.995,97942.748,97791.076,97709.168,97650.618,97592.042,
2002-06-10 08:35:00,287.311,5.461,286.158,97933.333,287.787,286.039,285.527,285.247,284.998,97942.686,97791.062,97709.164,97650.618,97592.043,
2002-06-10 08:40:00,287.273,5.461,286.217,97936.667,287.715,286.051,285.534,285.249,284.995,97942.690,97791.060,97709.164,97650.619,97592.045,
2002-06-10 08:45:00,287.407,5.461,286.275,97940.000,287.897,286.100,285.561,285.265,285.001,97942.622,97791.043,97709.158,97650.618,97592.045,
2002-06-10 08:50:00,287.357,5.461,286.333,97943.333,287.808,286.108,285.566,285.267,285.000,97942.631,97791.041,97709.158,97650.619,97592.046,
2002-06-10 08:55:00,287.505,4.779,286.392,97946.667,288.009,286.161,285.597,285.286,285.007,97942.555,97791.022,97709.150,97650.616,97592.046,
2002-06-10 09:00:00,287.435,4.779,286.450,97950.000,287.893,286.162,285.599,285.287,285.007,97942.573,97791.021,97709.150,97650.616,97592.046,
2002-06-10 09:05:00,287.632,4.779,286.542,97953.333,288.148,286.258,285.675,285.353,285.067,97942.424,97790.953,97709.107,97650.587,97592.030,
2002-06-10 09:10:00,287.521,4.779,286.633,97956.667,287.972,286.266,285.704,285.393,285.113,97942.420,97790.917,97709.076,97650.563,97592.015,
2002-06-10 09:15:00,287.755,4.779,286.725,97960.000,288.286,286.361,285.780,285.460,285.174,97942.260,97790.848,97709.032,97650.534,97591.999,
2002-06-10 09:20:00,287.659,4.779,286.817,97963.333,288.112,286.389,285.819,285.505,285.223,97942.237,97790.805,97708.999,97650.509,97591.984,
2002-06-10 09:25:00,287.948,4.779,286.908,97966.667,288.498,286.512,285.913,285.584,285.290,97942.043,97790.725,97708.949,97650.477,97591.967,
2002-06-10 09:30:00,287.809,4.779,287.000,97970.000,288.264,286.528,285.947,285.626,285.338,97942.039,97790.685,97708.917,97650.453,97591.952,
2002-06-10 09:35:00,288.131,4.779,287.092,97973.333,288.700,286.655,286.042,285.706,285.407,97941.833,97790.603,97708.866,97650.420,97591.934,
2002-06-10 09:40:00,287.944,4.779,287.183,97976.667,288.399,286.658,286.069,285.744,285.452,97941.851,97790.569,97708.836,97650.397,97591.920,
2002-06-10 09:45:00,288.323,4.779,287.275,97980.000,288.915,286.802,286.174,285.830,285.524,97941.618,97790.480,97708.782,97650.363,97591.902,
