,tpr_air2m_c13_cal_%60'_celsius,pre_air_c13_cal_%60'_hPa,'hum_relcapa_c13_cal_%60'_percent,prp_intensrr_c13_cal_%60'_millimeter/hour,'ven_ddmoy_c13_cal_%60'_degre,ven_ffmoy_c13_cal_%60'_m/s,flx_rvd_c13_cal_%60'_watt/m2,flx_rvm_c13_cal_%60'_watt/m2,flx_ird_c13_%60'_watt/m2,flx_irm_c13_%60'_watt/m2
1/9/2004 4:00,9.69,991.4366667,93.31666667,0,242.55,3.321666667,-0.124666667,0.018333333,349.1838333,352.1898333
1/9/2004 5:00,10.11166667,991.705,93.85,1,248.3833333,2.935,-0.098333333,-0.001833333,356.0861667,355.151
1/9/2004 6:00,10.63133333,992.01,95.26666667,2.1,256.8666667,3.88,-0.035,0,359.8888333,358.6011667
1/9/2004 7:00,10.85383333,992.6366667,95,1.4,268.4333333,3.96,1.362333333,0.184166667,362.1651667,360.8865
1/9/2004 8:00,10.71883333,992.98,95.98333333,0.8,269.2166667,2.185,10.415,1.572666667,363.1433333,360.4701667
1/9/2004 9:00,10.8955,992.9433333,96.06666667,1.8,232.75,2.886666667,32.06733333,5.019,362.2871667,362.3506667
1/9/2004 10:00,11.0255,992.675,96.73333333,2.6,233.8333333,3.436666667,36.04333333,5.700833333,362.8255,364.123
1/9/2004 11:00,11.56733333,992.1133333,96.15,3,266.6333333,3.726666667,32.25733333,5.045666667,366.137,366.8728333
1/9/2004 12:00,11.68633333,991.9683333,97,4.7,282.4333333,3.315,26.46183333,4.095166667,367.255,367.9701667
1/9/2004 13:00,12.04816667,991.7566667,97.08333333,5.6,283.6833333,3.556666667,24.0525,3.7605,369.9728333,369.8305
1/9/2004 14:00,12.16033333,992.3316667,97,6.6,306,3.398333333,19.36916667,3.06,370.5516667,370.8663333
