,Urban_MNP_19m_5min_tdb_c,Rural_MNP_1p2m_5min_tdb_c,Rural_MNP_1p2m_5min_Sta_pa,Bypass_Direct,Bypass_Real_P0,Bypass_RealEPW
2004-06-15 12:50:00,24.028,24.502,99642.0,27.440337729694306,27.51890829397007,27.787740695581817
2004-06-15 12:55:00,24.106,24.556,99642.0,27.506738958936012,27.585253938007327,27.85414566021501
2004-06-15 13:00:00,24.386000000000003,24.582,99636.0,27.570227381815414,27.648686381972823,27.962564803964767
2004-06-15 13:05:00,24.346,24.54,99634.0,27.622576410699708,27.70098907718534,28.014922076169
2004-06-15 13:10:00,24.044,25.054,99626.0,27.715961829351045,27.7943248146114,28.10835520788345
2004-06-15 13:15:00,24.29,25.276,99626.0,27.82721153880715,27.905519650554368,28.21966607378664
2004-06-15 13:20:00,23.918,25.154,99624.0,27.937092048242903,28.01534283291096,28.329603854805896
2004-06-15 13:25:00,23.876,24.94,99616.0,28.045122284040133,28.123315143389902,28.437688832593494
2004-06-15 13:30:00,23.964,24.814,99616.0,28.15533049102544,28.233464935895938,28.547953564574357
2004-06-15 13:35:00,24.182,25.248,99618.0,28.26138076512234,28.339456661365887,28.654055890645395
2004-06-15 13:40:00,24.41,25.132,99610.0,28.367859042052714,28.445875899557393,28.76058617554048
2004-06-15 13:45:00,24.68,24.832,99602.0,28.475308314751146,28.553265519686022,28.868087854950033
2004-06-15 13:50:00,24.466,24.554,99598.0,28.580688786477936,28.658586097187765,28.973518332721255
2004-06-15 13:55:00,24.86,24.598000000000003,99592.0,28.685723597924095,28.76356065486607,29.078602429602938
2004-06-15 14:00:00,25.104,25.088,99586.0,28.791446992588703,28.869223332950753,29.227781133395922
2004-06-15 14:05:00,24.784,24.944,99582.0,28.875989019311646,28.953712727057848,29.312370833473494
2004-06-15 14:10:00,24.524,25.268,99566.0,28.951102856283228,29.028776180824366,29.387523402716113
2004-06-15 14:15:00,24.62,25.25,99562.0,29.02914101059531,29.106763255955627,29.46560306425232
2004-06-15 14:20:00,24.84,25.632,99558.0,29.10976785765962,29.18733801280166,29.546273479604054
2004-06-15 14:25:00,24.746,25.594,99540.0,29.189778803852903,29.267296388723594,29.626326782262993
2004-06-15 14:30:00,24.74,25.082,99538.0,29.259805586515313,29.33727140936992,29.696384877387857
