,(m) canPres_1.5,(m) canPres_2.5,(m) canPres_3.5,(m) canPres_4.5,(m) canPres_5.5,(m) canPres_6.5,(m) canPres_7.5,(m) canPres_8.5,(m) canPres_9.5,(m) canPres_10.5,(m) canPres_11.5,(m) canPres_12.5,(m) canPres_13.5,(m) canPres_14.5
2002-06-12 21:20:00,98068.31671750004,98056.92957970497,98045.54184644585,98034.15348594397,98022.76449540466,98011.37489773617,97999.98473435249,97988.59405367772,97977.20290333108,97965.81132721448,97954.41936553067,97943.02705587875,97931.63443373311,97920.24148017392
2002-06-12 21:25:00,98068.36451602096,98056.97586254145,98045.58664942508,98034.19684226271,98022.80643616292,98011.4154525618,98000.02393173311,97988.63192071626,97977.23946543437,97965.84660796847,97954.45338675345,97943.05983777059,97931.6659949954,97920.27183880085
2002-06-12 21:30:00,98068.41485308287,98057.02450675462,98045.633633879,98034.24220033,98022.85020135215,98011.45765834434,98000.06461121736,97988.67110612754,97977.27718773902,97965.8828967304,97954.48827014593,97943.09334265302,97931.69814697003,97920.30266326576
2002-06-12 21:35:00,98068.45889282256,98057.06703754781,98045.67468283458,98034.28179589225,98022.88837307249,98011.49443665346,98000.10002700904,97988.70519005478,97977.30996965079,97965.91440538937,97954.518533152,97943.12238646715,97931.72599692894,97920.32934459871
2002-06-12 21:40:00,98068.4961787979,98057.10304608522,98045.70943724828,98034.3153207748,98022.92069414599,98011.5255806401,98000.13002126629,97988.73406182462,97977.33774543715,97965.9411106456,97954.54419220267,97943.14702254694,97931.74963220827,97920.35200107851
2002-06-12 21:45:00,98068.52681236845,98057.13257400974,98045.73788272696,98034.34270785938,98022.9470476359,98011.55092602466,98000.15438445371,97988.75746849355,97977.3602204879,97965.96267792824,97954.56487445875,97943.16684145806,97931.76860843127,97920.37015508795
2002-06-12 21:50:00,98068.5527908766,98057.15755513673,98045.76189009155,98034.3657657239,98022.96918083548,98011.57215994185,98000.17474477194,97988.7769805639,97977.37890879669,97965.98056584575,97954.58198420242,97943.18319416116,97931.78422419407,97920.3850538121
2002-06-12 21:55:00,98068.57385958209,98057.17770705195,98045.78114987956,98034.38415871731,98022.98673301846,98011.588897969,98000.19069571508,97988.79217119585,97977.393364984,97965.99431226325,97954.5950442954,97943.19559023,97931.79597745884,97920.39618530658
2002-06-12 22:00:00,98068.63737940518,98057.23888007918,98045.83998815024,98034.44066751674,98023.04091194454,98011.64074209963,98000.24019648922,97988.83931669313,97977.43814005305,97966.0366987323,97954.6350212763,97943.23313446586,97931.83106361033,97920.42878493937
2002-06-12 22:05:00,98068.75711746427,98057.35619832957,98045.95488885327,98034.55315200333,98023.15098081264,98011.74839546214,98000.34543415139,97988.94213815717,97977.53854447692,97966.1346849176,97954.7305876929,97943.32627929903,97931.92178479556,97920.5170800557
2002-06-12 22:10:00,98068.88477727323,98057.48124267967,98046.07731968432,98034.67296952562,98023.26818366085,98011.86298088387,98000.45739822899,97989.05147602603,97977.64525047927,97966.23875268847,97954.83201020374,97943.42504888323,97932.01789316665,97920.61051788335
2002-06-12 22:15:00,98069.01539626077,98057.60897213388,98046.20216694826,98034.79494044332,98023.38728273837,98011.97921144341,98000.57076261162,97989.16197588804,97977.7528870604,97966.343526997,97954.93392312907,97943.52410126335,97932.1140858448,97920.70385178053
2002-06-12 22:20:00,98069.13962705157,98057.7304274216,98046.32085201879,98034.91086087037,98023.50044423479,98012.08961969307,98000.67842313454,97989.26689399286,97977.85506785472,97966.44297541582,97955.03064395943,97943.6180991582,97932.20536533235,97920.7924174384
2002-06-12 22:25:00,98069.25754833543,98057.84579708472,98046.43367254589,98035.02113498341,98023.60817469114,98012.19480911946,98000.78107393783,97989.36700836354,97977.9526477916,97966.53802273545,97955.1231602877,97943.70808591228,97932.29282370415,97920.87734839064
2002-06-12 22:30:00,98069.36974109332,98057.9555951524,98046.5410768407,98035.12614639786,98023.71079405698,98012.29503721208,98000.87891146669,97989.46245589743,97978.04570569075,97966.62869112022,97955.21143903788,97943.79397468173,97932.37632192994,97920.958455237
2002-06-12 22:35:00,98069.478419901,98058.06195641885,98046.64512292175,98035.22787921916,98023.81021510434,98012.3921475712,98000.97371187984,97989.55494679595,97978.13588721404,97966.71656313221,97955.29700114453,97943.87722624956,97932.4572620992,97921.03708285696
2002-06-12 22:40:00,98069.58331675651,98058.16459870768,98046.74551361793,98035.32602093139,98023.90611005259,98012.48579760571,98001.06511851453,97989.64411122406,97978.2228103223,97966.80124552033,97955.37944314856,97943.95742796612,97932.53522340299,97921.11280337328
2002-06-12 22:45:00,98069.68512852406,98058.2642084063,98046.84292515037,98035.42123784972,98023.99913554963,98012.57663454348,98001.15376944741,97989.73057837714,97978.30709557293,97966.88335040255,97955.45936887528,97944.03517545873,97932.61079331375,97921.18619609355
2002-06-12 22:50:00,98069.78296779022,98058.35992456121,98046.93652215585,98035.51271939409,98024.08850496792,98012.6638947764,98001.23892304307,97989.81362752734,97978.38804215688,97966.96219602306,97955.53611488432,97944.10982297514,97932.68334323587,97921.25664911354
